B02,B03,B04,B08,class
3211,3788,4168,8113,forest
2333,4142,2805,20545,forest
1514,2235,1173,16633,forest
1481,2720,1330,21201,forest
1330,1986,872,17852,forest
1540,3100,1547,22282,forest
1416,2287,1226,21443,forest
2215,4234,2077,28298,forest
1468,2412,1206,16279,forest
1442,2268,1258,18481,forest
2418,3172,2870,9470,forest
1448,2726,1461,20958,forest
1363,1894,1035,13330,forest
1475,2766,1389,22537,forest
1527,2254,1232,18553,forest
1501,2353,1206,17301,forest
1547,2326,1311,20761,forest
2038,4148,2123,29753,forest
1527,2549,1173,18999,forest
1514,2517,1278,22983,forest
2530,4312,2530,25716,forest
1848,3316,1927,27695,forest
1579,2654,1376,27833,forest
1304,2274,1193,25762,forest
1527,2576,1291,20499,forest
2549,2844,3506,5184,forest
1547,2975,1540,22623,forest
3002,3460,4247,6265,forest
1815,3486,1855,25899,forest
1291,1953,1022,15375,forest
1245,2281,1062,20657,forest
1514,2359,1265,20729,forest
1822,3480,2045,20244,forest
1658,2241,1212,20224,forest
1245,1678,944,13815,forest
1311,2366,1108,19674,forest
1212,1953,1009,17268,forest
1894,3853,1842,29098,forest
2936,4234,3408,13232,forest
2163,2287,2851,4850,forest
1455,1973,1062,12747,forest
2287,4391,2831,22302,forest
1658,2943,1632,22937,forest
2136,4293,2300,23350,forest
1520,2857,1481,25139,forest
1429,2313,1062,23212,forest
1160,1625,891,14064,forest
3054,3565,5033,9031,forest
1147,2005,917,14804,forest
2110,3840,2818,20368,forest
1350,2084,1160,19405,forest
2248,4299,2713,20565,forest
1743,3427,1973,26135,forest
1861,3454,1848,22852,forest
1475,2281,1232,18481,forest
3618,4338,5099,8329,forest
1697,2884,1737,21102,forest
1959,3631,1933,26162,forest
1488,2471,1357,18920,forest
1461,2628,1402,15925,forest
1330,1946,1068,12583,forest
1343,2326,1337,22852,forest
1599,2300,1219,19647,forest
1357,1979,1160,20008,forest
1507,2497,1245,19556,forest
1226,1992,1049,19490,forest
1468,2923,1547,25034,forest
2077,3827,2189,21463,forest
1042,1553,859,15388,forest
1416,2425,1219,20421,forest
1553,2195,1193,13893,forest
1337,2235,1258,20873,forest
1455,2163,1186,15125,forest
1153,1992,1009,17452,forest
1252,1901,1081,14909,forest
2589,4509,3290,20578,forest
1927,3002,1953,19588,forest
1625,2497,1396,23514,forest
1625,2484,1337,22800,forest
1953,3342,1704,25611,forest
1534,2582,1193,18769,forest
1560,2300,1180,16076,forest
1442,2399,1343,21102,forest
1619,3251,1409,24733,forest
1481,2136,1075,20165,forest
1553,2857,1383,20886,forest
1769,3329,1658,25867,forest
2359,4312,2792,22302,forest
1488,2425,1219,18114,forest
1553,2779,1684,18029,forest
1317,2687,1284,20198,forest
2451,2680,3126,5158,forest
1160,1914,990,16646,forest
1461,2831,1389,19693,forest
1835,3716,2018,24766,forest
1750,2713,1435,21423,forest
2615,3106,3408,6626,forest
1448,2693,1383,18599,forest
2779,3375,4587,7753,forest
1901,3146,1520,24405,forest
1389,2228,1226,19942,forest
1894,3303,1586,23809,forest
1691,2792,1697,19634,forest
1429,2661,1573,14732,forest
1501,2556,1226,18324,forest
1842,3362,1979,22229,forest
1239,2123,1232,17871,forest
1232,2117,1114,19470,forest
1455,2477,1180,20630,forest
1566,2313,1304,22629,forest
1252,2484,1173,22157,forest
2136,4640,2130,28232,forest
1357,2189,1206,16030,forest
1376,2471,1134,20552,forest
1645,2923,1468,24484,forest
1363,2333,1147,19785,forest
1625,2503,1324,19123,forest
2910,3008,3742,5990,forest
2458,4863,3021,23855,forest
2943,3382,3965,6757,forest
2320,4823,2209,29386,forest
1534,2517,1298,22852,forest
1311,2346,1212,20473,forest
2084,3971,2326,25670,forest
2733,3198,3775,5616,forest
3021,3329,4188,6612,forest
1501,2648,1245,25506,forest
1501,2484,1376,19851,forest
1337,2451,1239,23645,forest
1252,2254,1219,16318,forest
2431,4391,2261,19333,forest
1534,2752,1357,21915,forest
1638,2825,1357,22256,forest
2549,3329,3283,8382,forest
1488,2150,1081,17491,forest
1212,1861,1029,15755,forest
2143,2320,2680,4227,forest
1874,3388,1756,24143,forest
3794,4168,5243,7654,forest
2097,3749,2097,29851,forest
1494,2667,1271,21450,forest
1232,2051,1252,12897,forest
1337,2038,1088,17701,forest
1527,2215,1081,21862,forest
1488,2228,1167,19261,forest
1383,2228,1206,19431,forest
2045,4030,2287,21882,forest
1632,2405,1284,20604,forest
1396,2451,1298,22479,forest
1422,2405,1304,22066,forest
3133,3454,4293,6259,forest
1304,2530,1304,21790,forest
1416,2215,944,18101,forest
2576,2969,3703,5820,forest
3237,3552,4660,7176,forest
2241,4116,2746,20598,forest
1455,2530,1304,22387,forest
1343,1946,1173,21260,forest
1481,1874,1081,16974,forest
1586,2543,1304,16738,forest
1645,2385,1252,21102,forest
1396,2281,1298,20997,forest
2163,3958,1822,23330,forest
1665,3054,1442,21056,forest
1507,2988,1284,31195,forest
3172,3749,4771,7792,forest
1645,2713,1363,21600,forest
1501,2222,1173,13415,forest
1606,2923,1357,29681,forest
